overall_rank,team_id,team,conference,scheduled_games,score_model_rating,fpi,fpi_rank,fpi_projected_wins,consensus_rating,average_opponent_rating,expected_regular_wins,expected_regular_points,conference_title_game_probability,conference_title_probability,expected_conference_title_points,playoff_probability,expected_playoff_wins,expected_playoff_points,expected_postseason_points,expected_points_before_playoff,national_title_probability,expected_fantasy_points,median_fantasy_points,p10_fantasy_points,p90_fantasy_points,schedule_difficulty_rank,pre_playoff_rank,playoff_rank_lift,playoff_value_share
121,36,Colorado State,Pac-12,12,1426.400353187066,-12.364,118,3.579,1376.36,1470.4975000000002,4.547120522771813,4.547120522771813,0.02715,0.0064,0.0064,0.0006,0.00015,0.00015,0.00655,4.553520522771813,0.0,4.553670522771813,4.0,2.0,7.0,75,121,0,3.29404596247985e-05
122,113,Massachusetts,MAC,12,1326.6581795513748,-18.834,137,4.88,1311.66,1402.8166666666668,4.489602224981083,4.489602224981083,0.01485,0.00345,0.00345,0.0001,0.0,0.0,0.00345,4.493052224981083,0.0,4.493052224981083,4.0,2.0,7.0,133,122,0,0.0
123,2459,Northern Illinois,Mountain West,12,1454.689334421213,-14.51,125,4.278,1354.9,1438.2183333333332,4.458499311156425,4.458499311156425,0.02605,0.00655,0.00655,0.00055,0.00015,0.00015,0.0067,4.465049311156425,0.0,4.465199311156424,4.0,2.0,7.0,98,123,0,3.359312531138774e-05
124,2247,Georgia State,Sun Belt,12,1397.033437656627,-15.225,127,4.55,1347.75,1425.2958333333333,4.452990456184878,4.452990456184878,0.0154,0.0054,0.0054,0.00065,0.0,0.0,0.0054,4.458390456184878,0.0,4.458390456184878,4.0,2.0,7.0,109,124,0,0.0
125,166,New Mexico State,CUSA,12,1433.5126054786574,-15.705,129,4.439,1342.95,1427.8908333333336,4.353738729343071,4.353738729343071,0.041,0.0151,0.0151,0.0005,5e-05,5e-05,0.01515,4.3688387293430715,0.0,4.368888729343071,4.0,2.0,7.0,106,125,0,1.1444557895050411e-05
126,8,Arkansas,SEC,12,1480.0004014177623,4.396,47,4.322,1543.96,1621.8316666666667,4.320363334248549,4.320363334248549,0.0005,0.0001,0.0001,0.00035,0.00015,0.00015,0.00025,4.320463334248549,0.0,4.320613334248549,4.0,2.0,6.0,1,126,0,3.4717293216447555e-05
127,2509,Purdue,Big Ten,12,1417.6508155294216,-0.929,71,4.296,1490.71,1578.9950000000001,4.288003485399168,4.288003485399168,0.0006,5e-05,5e-05,0.0001,0.0,0.0,5e-05,4.288053485399168,0.0,4.288053485399168,4.0,2.0,6.0,19,127,0,0.0
128,2006,Akron,MAC,12,1436.2328359935063,-16.854,133,4.355,1331.46,1420.9708333333335,4.254301526264371,4.254301526264371,0.02185,0.00575,0.00575,0.00035,5e-05,5e-05,0.0058,4.260051526264371,0.0,4.26010152626437,4.0,2.0,6.0,114,128,0,1.1736809484877318e-05
129,2050,Ball State,MAC,12,1417.574643972626,-17.282,134,4.201,1327.18,1434.996666666667,4.149564005350466,4.149564005350466,0.01775,0.00465,0.00465,0.0001,0.0,0.0,0.00465,4.1542140053504655,0.0,4.1542140053504655,4.0,2.0,6.0,100,129,0,0.0
130,5,UAB,American,12,1433.3496494277215,-15.451,128,3.988,1345.49,1445.621666666667,3.9824090445047093,3.9824090445047093,0.00285,0.00085,0.00085,0.00015,0.0,0.0,0.00085,3.983259044504709,0.0,3.983259044504709,4.0,2.0,6.0,91,130,0,0.0
131,103,Boston College,ACC,12,1459.7059444142546,-2.668,78,3.953,1473.32,1573.5866666666668,3.9648304374644394,3.9648304374644394,0.00205,0.0003,0.0003,0.0004,5e-05,5e-05,0.00035,3.9651304374644396,0.0,3.9651804374644395,4.0,2.0,6.0,22,131,0,1.2609766639515863e-05
132,2638,UTEP,Mountain West,12,1399.440037902969,-16.605,132,4.053,1333.95,1454.7433333333336,3.952257177407369,3.952257177407369,0.0148,0.0032,0.0032,5e-05,0.0,0.0,0.0032,3.9554571774073692,0.0,3.9554571774073692,4.0,2.0,6.0,81,132,0,0.0
133,242,Rice,American,12,1437.41450645784,-13.439,122,3.983,1365.6100000000001,1474.8733333333332,3.9160417524609907,3.9160417524609907,0.0065,0.00165,0.00165,5e-05,0.0,0.0,0.00165,3.917691752460991,0.0,3.917691752460991,4.0,2.0,6.0,74,133,0,0.0
134,2534,Sam Houston,CUSA,12,1425.3954933761631,-18.422,136,3.868,1315.78,1428.3383333333334,3.8319940007564446,3.8319940007564446,0.0184,0.00465,0.00465,0.00015,0.0,0.0,0.00465,3.8366440007564444,0.0,3.8366440007564444,4.0,2.0,6.0,105,134,0,0.0
135,2309,Kent State,MAC,12,1406.3369659655002,-17.891,135,3.76,1321.0900000000001,1450.729166666667,3.821074371998311,3.821074371998311,0.01375,0.0042,0.0042,5e-05,0.0,0.0,0.0042,3.825274371998311,0.0,3.825274371998311,4.0,2.0,6.0,85,135,0,0.0
136,24,Stanford,ACC,12,1444.2163029586186,-3.344,80,3.878,1466.56,1569.9908333333333,3.814477620773611,3.814477620773611,0.00145,0.00015,0.00015,0.00025,0.0,0.0,0.00015,3.814627620773611,0.0,3.814627620773611,4.0,2.0,6.0,24,136,0,0.0
137,2429,Charlotte,American,12,1375.2465526686196,-14.583,126,3.907,1354.17,1460.5225,3.6998946263214716,3.6998946263214716,0.0049,0.0013,0.0013,0.0,0.0,0.0,0.0013,3.7011946263214717,0.0,3.7011946263214717,4.0,2.0,6.0,76,137,0,0.0
138,2433,UL Monroe,Sun Belt,12,1405.4786062115152,-19.255,138,3.4,1307.45,1419.9099999999999,3.626788374230408,3.626788374230408,0.0054,0.00125,0.00125,5e-05,0.0,0.0,0.00125,3.628038374230408,0.0,3.628038374230408,4.0,2.0,6.0,116,138,0,0.0
